surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
yes,adult,37.5,96.0,24.0,cool,reduced,dark_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,2.0,absent,distend_small,66.0,12.85,serosanguious,2.0,yes,2208,0,0,no
yes,adult,38.0,66.0,12.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,3.0,absent,distend_small,44.0,6.1,serosanguious,3.6,yes,2208,0,0,yes
yes,young,38.7,88.0,20.0,warm,normal,pale_cyanotic,less_3_sec,depressed,hypermotile,slight,significant,less_1_liter,7.0,increased,normal,34.0,6.1,cloudy,2.6,yes,7111,0,0,no
yes,adult,38.1,129.0,48.0,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,slight,more_1_liter,2.0,absent,distend_large,57.0,12.85,serosanguious,2.0,no,3205,0,0,no
yes,adult,37.6,96.0,48.0,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,4.5,absent,distend_small,45.0,4.6,cloudy,2.8,yes,3207,0,0,yes
yes,adult,39.1,84.0,48.0,cool,reduced,dark_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,5.0,decreased,normal,59.0,8.4,serosanguious,3.3,no,4206,0,0,yes
yes,adult,38.0,92.0,28.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,significant,more_1_liter,2.0,absent,distend_small,46.0,5.3,serosanguious,2.0,yes,3111,0,0,no
yes,adult,39.4,124.0,32.0,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,moderate,slight,more_1_liter,5.0,decreased,normal,48.0,7.3,serosanguious,3.4,no,2209,0,0,yes
no,young,39.80000000000001,114.0,36.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,significant,more_1_liter,7.0,absent,distend_small,47.0,7.5,serosanguious,4.5,yes,2113,0,0,no
no,adult,37.6,48.0,28.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,normal,firm,49.0,7.0,clear,3.6,no,0,0,0,yes
no,adult,38.5,60.0,40.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,5.5,absent,normal,45.0,8.6,serosanguious,4.1,yes,0,0,0,yes
yes,adult,38.0,129.0,63.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,5.0,absent,distend_small,73.0,8.4,serosanguious,4.1,yes,2206,0,0,yes
yes,adult,38.0,64.0,24.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,more_1_liter,3.5,absent,distend_large,47.0,7.5,cloudy,2.6,yes,3209,0,0,yes
yes,adult,37.2,96.0,24.0,cold,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,4.5,absent,distend_small,31.5,6.1,serosanguious,5.3,yes,3209,0,0,yes
yes,adult,38.5,80.0,16.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,less_1_liter,2.0,absent,distend_large,54.0,12.85,clear,2.0,yes,3205,0,0,no
yes,adult,37.2,68.0,12.0,normal,normal,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,7.0,absent,distend_large,49.0,7.0,cloudy,2.6,yes,2124,0,0,no
yes,adult,37.6,92.0,20.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,3.0,absent,distend_small,48.0,6.0,serosanguious,3.4,yes,2209,0,0,yes
yes,adult,38.2,68.0,24.0,normal,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,3.0,normal,distend_large,45.0,7.0,cloudy,3.6,yes,3113,0,0,yes
yes,adult,38.1,140.0,63.0,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,2.0,absent,distend_large,39.0,12.85,serosanguious,2.0,yes,3205,0,0,no
yes,adult,37.1,84.0,30.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5.0,absent,distend_small,30.0,6.0,serosanguious,2.9,yes,2205,0,0,yes
yes,adult,37.8,52.0,24.0,normal,reduced,pale_pink,less_3_sec,severe_pain,absent,moderate,slight,more_1_liter,5.7,normal,distend_small,48.0,7.2,clear,3.7,yes,2112,0,0,no
yes,adult,37.6,84.0,30.0,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,1.0,absent,distend_small,55.0,8.1,serosanguious,3.9,yes,2208,0,0,no
yes,adult,38.0,130.0,16.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,more_1_liter,2.0,absent,distend_large,52.0,12.85,serosanguious,2.0,no,3205,1400,0,no
yes,adult,39.1,120.0,18.0,normal,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,5.3,decreased,other,64.0,8.0,cloudy,3.9,yes,2208,0,0,no
no,adult,38.0,56.0,14.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,2.0,normal,normal,57.0,12.85,cloudy,2.0,no,0,0,0,yes
yes,adult,37.2,72.0,30.0,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,more_1_liter,2.0,absent,distend_large,60.0,12.85,serosanguious,2.0,yes,3205,0,0,no
yes,adult,38.1,66.0,12.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,3.5,increased,distend_large,44.0,7.5,cloudy,3.6,yes,2124,0,0,yes
yes,adult,38.4,80.0,35.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,3.5,absent,distend_small,50.0,12.85,cloudy,1.3,yes,3205,0,0,no
yes,adult,37.7,48.0,16.0,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,4.5,decreased,firm,35.0,7.5,serosanguious,4.5,yes,3205,0,0,no
yes,adult,37.7,60.0,12.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,slight,less_1_liter,6.0,increased,normal,45.0,7.5,serosanguious,1.4,yes,4206,0,0,no
no,adult,37.6,108.0,63.0,cold,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,more_1_liter,4.5,absent,distend_small,52.0,6.1,cloudy,3.7,no,3205,0,0,no
yes,adult,36.599999999999994,88.0,40.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,slight,slight,more_1_liter,5.0,absent,distend_large,44.0,7.5,serosanguious,5.3,yes,4205,0,0,yes
yes,adult,38.0,36.0,16.0,cool,normal,pale_pink,less_3_sec,severe_pain,absent,severe,significant,more_1_liter,2.0,decreased,distend_small,37.0,12.85,cloudy,1.0,no,3111,0,0,no
yes,adult,37.6,96.0,18.0,cool,reduced,bright_red,more_3_sec,mild_pain,absent,slight,slight,more_1_liter,5.0,absent,distend_small,69.0,8.1,serosanguious,2.0,yes,2208,0,0,no
no,adult,38.2,56.0,40.0,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,7.5,absent,distend_small,47.0,7.2,clear,2.5,no,8300,0,0,yes
yes,adult,38.6,52.0,20.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,5.7,normal,firm,48.0,7.2,clear,5.0,no,0,0,0,yes
yes,adult,38.1,52.0,63.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,4.4,increased,distend_large,43.0,6.1,cloudy,3.6,yes,2124,0,0,yes
yes,adult,38.2,88.0,24.0,cool,reduced,bright_pink,less_3_sec,depressed,absent,moderate,slight,more_1_liter,2.0,absent,distend_large,66.0,12.85,serosanguious,2.0,yes,4205,3111,2209,no
no,adult,37.7,96.0,30.0,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,significant,less_1_liter,4.0,absent,distend_large,66.0,12.85,serosanguious,2.0,yes,4205,0,0,no
yes,adult,37.2,80.0,36.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,2.0,absent,distend_small,50.0,12.85,serosanguious,2.0,yes,1400,0,0,no
yes,adult,38.1,52.0,24.0,normal,normal,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,7.0,normal,distend_small,54.0,7.5,cloudy,2.6,yes,5400,0,0,no
yes,adult,38.1,80.0,51.0,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,slight,more_1_liter,2.0,absent,normal,54.0,12.85,serosanguious,2.0,yes,7209,0,0,no
yes,adult,38.0,84.0,24.0,warm,reduced,pale_pink,more_3_sec,mild_pain,absent,moderate,slight,less_1_liter,4.5,normal,distend_large,36.0,6.6,clear,3.9,yes,3115,0,0,no
yes,young,37.5,66.0,13.0,cool,reduced,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,5.0,decreased,distend_small,40.0,4.5,serosanguious,0.1,yes,11124,0,0,no
no,adult,37.2,48.0,24.0,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,slight,slight,more_1_liter,1.0,normal,distend_small,42.0,12.85,clear,1.0,no,0,0,0,no
yes,young,39.2,164.0,24.0,cold,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,slight,slight,more_1_liter,5.0,absent,distend_small,72.0,6.2,serosanguious,3.2,yes,4207,0,0,no
no,adult,38.4,48.0,28.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,moderate,slight,slight,7.0,decreased,other,49.0,8.1,cloudy,1.5,no,3111,0,0,yes
yes,adult,37.8,52.0,16.0,normal,reduced,normal_pink,less_3_sec,depressed,absent,moderate,slight,more_1_liter,2.0,absent,distend_small,46.0,12.85,clear,2.0,yes,2205,0,0,no
yes,adult,38.6,120.0,16.0,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,2.0,absent,distend_large,57.0,12.85,serosanguious,2.0,yes,2209,0,0,no
no,adult,38.1,108.0,48.0,cold,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,2.0,decreased,distend_large,52.0,6.0,serosanguious,2.0,yes,4205,0,0,no
yes,adult,38.0,52.0,24.0,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,severe,slight,more_1_liter,2.0,decreased,distend_small,57.0,12.85,serosanguious,2.0,yes,2209,0,0,yes
yes,adult,37.2,88.0,20.0,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,2.0,absent,distend_large,65.0,12.85,serosanguious,2.0,no,3205,0,0,no
yes,adult,37.8,30.0,12.0,normal,normal,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,6.5,absent,distend_large,46.0,6.5,serosanguious,4.4,yes,3205,0,0,yes
yes,adult,39.2,100.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,more_1_liter,3.0,absent,distend_small,60.0,7.5,serosanguious,3.0,yes,2124,0,0,yes
yes,adult,38.2,66.0,16.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,3.0,absent,distend_large,36.0,6.6,serosanguious,3.4,yes,31110,0,0,yes
no,adult,37.5,88.0,24.0,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,4.0,normal,distend_small,69.0,8.2,cloudy,5.0,no,3111,3112,0,yes
yes,young,37.2,64.0,28.0,warm,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,5.5,normal,distend_small,54.0,7.7,cloudy,3.3,yes,2208,0,0,yes
yes,adult,38.0,104.0,40.0,cold,reduced,pale_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5.4,absent,distend_small,53.0,7.3,cloudy,2.3,yes,2209,0,0,no
yes,adult,38.4,52.0,12.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,normal,distend_small,54.0,6.1,serosanguious,3.6,yes,2208,0,0,no
yes,adult,38.5,76.0,28.0,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,5.5,normal,distend_small,40.0,6.5,cloudy,3.2,yes,2208,0,0,yes
no,adult,38.0,146.0,36.0,cool,reduced,bright_red,less_3_sec,depressed,absent,moderate,slight,more_1_liter,2.0,absent,distend_small,57.0,12.85,serosanguious,2.0,yes,3205,0,0,yes
yes,young,38.2,120.0,48.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,4.5,absent,distend_small,37.0,6.1,cloudy,2.6,yes,1400,0,0,yes
no,adult,38.4,52.0,21.0,cool,reduced,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,5.5,normal,distend_small,43.0,6.8,clear,3.6,no,0,0,0,no
yes,adult,37.2,108.0,12.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,6.0,decreased,firm,52.0,8.2,serosanguious,7.4,yes,2207,0,0,yes
yes,young,38.1,124.0,24.0,cool,reduced,bright_red,more_3_sec,depressed,absent,slight,slight,more_1_liter,7.0,decreased,distend_small,47.0,7.5,clear,2.6,yes,9400,0,0,yes
yes,adult,39.4,100.0,51.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,significant,less_1_liter,2.0,absent,distend_small,57.0,8.5,serosanguious,3.9,yes,4205,0,0,no
yes,adult,39.4,48.0,40.0,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,2.0,absent,distend_small,49.0,12.85,serosanguious,2.0,yes,2206,0,0,no
no,adult,38.4,52.0,20.0,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,4.0,absent,distend_small,48.0,7.7,serosanguious,4.3,no,2124,0,0,yes
no,adult,38.3,104.0,40.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,3.0,absent,distend_large,54.0,7.4,serosanguious,3.6,no,3113,0,0,yes
yes,adult,38.5,88.0,24.0,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,4.5,decreased,distend_small,54.0,7.5,cloudy,2.6,yes,2205,0,0,no
no,adult,38.7,54.0,36.0,normal,reduced,bright_pink,less_3_sec,depressed,hypermotile,moderate,slight,less_1_liter,7.0,normal,distend_small,39.0,6.0,cloudy,2.6,no,300,0,0,yes
no,adult,38.3,64.0,30.0,normal,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,7.5,decreased,distend_large,47.0,7.2,serosanguious,0.1,no,0,0,0,no
no,adult,38.6,50.0,24.0,warm,normal,normal_pink,less_3_sec,alert,normal,slight,significant,more_1_liter,7.0,normal,distend_small,46.0,5.9,clear,1.0,no,0,0,0,no
yes,adult,37.5,114.0,36.0,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,7.0,decreased,distend_small,48.0,7.2,serosanguious,4.7,yes,2208,0,0,no
no,adult,38.5,56.0,24.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5.0,absent,distend_large,33.0,3.9,cloudy,3.9,yes,3111,0,0,yes
yes,adult,39.3,96.0,28.0,cold,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,2.0,absent,distend_small,65.0,12.85,serosanguious,3.9,yes,2208,0,0,yes
yes,adult,37.7,76.0,20.0,cool,reduced,pale_cyanotic,3,extreme_pain,hypomotile,moderate,significant,more_1_liter,3.0,absent,distend_large,53.0,6.5,serosanguious,3.9,yes,3205,0,0,no
yes,adult,39.2,104.0,51.0,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,severe,slight,more_1_liter,5.0,absent,distend_small,47.0,7.5,serosanguious,2.6,yes,2111,0,0,no
yes,adult,38.1,54.0,18.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,moderate,slight,more_1_liter,3.0,decreased,other,39.0,7.0,clear,3.0,yes,3111,0,0,no
yes,adult,39.4,104.0,30.0,cool,reduced,dark_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5.5,absent,distend_large,65.0,12.85,serosanguious,2.6,yes,2207,0,0,no
no,adult,38.3,52.0,20.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,2.0,absent,distend_small,53.0,12.85,clear,2.0,no,2209,0,0,yes
yes,adult,39.80000000000001,114.0,36.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,4.4,absent,distend_small,68.0,7.7,serosanguious,4.8,yes,2209,0,0,no
no,adult,39.1,72.0,30.0,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,significant,more_1_liter,2.0,decreased,distend_large,44.0,7.3,cloudy,2.0,yes,3300,0,0,yes
yes,adult,38.6,42.0,20.0,warm,normal,pale_pink,less_3_sec,depressed,absent,moderate,slight,more_1_liter,5.4,absent,distend_small,43.0,8.1,serosanguious,4.4,yes,2205,0,0,yes
no,adult,38.0,54.0,24.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,7.0,decreased,distend_large,41.0,7.5,clear,6.0,no,3112,3112,0,yes
yes,adult,37.1,84.0,40.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,severe,significant,less_1_liter,2.0,absent,distend_large,75.0,12.85,clear,2.0,yes,2112,0,0,no
yes,adult,37.9,52.0,14.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,3.0,absent,distend_large,37.0,4.0,serosanguious,3.4,yes,2208,0,0,yes
yes,adult,38.9,96.0,24.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,slight,slight,more_1_liter,7.5,decreased,distend_small,69.0,12.85,serosanguious,6.5,yes,2208,0,0,yes
no,adult,38.1,48.0,40.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,6.5,absent,distend_small,54.0,8.1,serosanguious,4.1,yes,3205,0,0,no
yes,adult,38.0,84.0,40.0,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,less_1_liter,4.0,decreased,distend_large,75.0,7.2,serosanguious,4.3,yes,3205,0,0,yes
yes,adult,38.0,88.0,24.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5.7,decreased,distend_small,36.0,6.6,serosanguious,3.7,yes,2205,0,0,no
yes,adult,37.8,48.0,32.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,7.0,absent,distend_small,41.0,7.0,clear,1.0,yes,2124,0,0,no
yes,adult,38.4,40.0,16.0,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,severe,slight,more_1_liter,2.0,absent,distend_large,52.0,12.85,serosanguious,2.0,yes,2209,0,0,no
no,adult,38.3,130.0,48.0,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,moderate,significant,more_1_liter,2.0,absent,distend_large,52.0,12.85,serosanguious,2.0,yes,3205,0,0,no
no,adult,38.3,48.0,28.0,cool,normal,bright_pink,less_3_sec,alert,hypomotile,slight,significant,more_1_liter,7.2,normal,firm,47.0,5.5,cloudy,4.1,no,0,0,0,yes
yes,adult,38.0,80.0,16.0,cool,reduced,bright_red,less_3_sec,extreme_pain,hypomotile,moderate,significant,more_1_liter,4.5,absent,distend_large,60.0,7.2,serosanguious,4.1,yes,7111,0,0,yes
yes,adult,38.1,48.0,12.0,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,7.5,decreased,distend_small,48.0,8.6,serosanguious,2.0,yes,2208,0,0,yes
yes,adult,38.0,48.0,16.0,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,decreased,firm,42.0,7.0,clear,2.6,yes,400,0,0,no
yes,adult,38.3,164.0,63.0,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,severe,slight,more_1_liter,5.0,decreased,distend_small,64.0,8.0,clear,6.0,yes,3205,0,0,yes
yes,young,39.2,150.0,51.0,normal,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,2.0,absent,normal,47.0,8.1,cloudy,2.2,no,1400,0,0,yes
no,adult,37.2,42.0,16.0,cool,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,less_1_liter,6.5,normal,normal,45.0,7.5,cloudy,7.0,no,2300,0,0,yes
yes,adult,38.1,92.0,36.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,4.5,decreased,distend_large,38.0,12.85,cloudy,1.0,no,2322,0,0,no
yes,adult,39.2,114.0,48.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,4.5,absent,distend_small,57.0,5.7,cloudy,6.6,no,2205,0,0,yes
yes,adult,37.1,104.0,35.0,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,5.0,absent,distend_small,73.0,11.0,serosanguious,3.9,yes,2205,0,0,yes
yes,young,39.1,164.0,63.0,cold,normal,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,5.0,decreased,distend_small,40.0,7.2,serosanguious,5.3,yes,7209,0,0,yes
no,adult,38.7,60.0,18.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,5.5,normal,firm,49.0,7.2,clear,1.3,no,0,0,0,no
yes,adult,38.3,104.0,40.0,normal,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,6.5,normal,distend_small,64.0,9.1,cloudy,2.6,yes,2205,0,0,yes
yes,adult,37.4,52.0,12.0,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,absent,distend_small,43.0,7.4,serosanguious,2.6,no,2209,0,0,no
yes,adult,38.3,84.0,36.0,cool,normal,pale_pink,less_3_sec,severe_pain,hypomotile,slight,slight,more_1_liter,7.0,normal,distend_large,45.0,6.5,cloudy,1.6,yes,7111,0,0,yes
yes,adult,37.4,84.0,36.0,normal,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,1.0,absent,distend_large,46.0,12.85,serosanguious,2.0,yes,7209,0,0,no
